Date,Close
4/10/2019 16:00:00,12.02
4/11/2019 16:00:00,11.9
4/12/2019 16:00:00,11.97
4/15/2019 16:00:00,11.85
4/16/2019 16:00:00,11.69
4/17/2019 16:00:00,11.75
4/18/2019 16:00:00,11.67
4/22/2019 16:00:00,11.53
4/23/2019 16:00:00,11.99
4/24/2019 16:00:00,11.26
4/25/2019 16:00:00,10.79
4/26/2019 16:00:00,10.91
4/29/2019 16:00:00,11.22
4/30/2019 16:00:00,11.14
5/1/2019 16:00:00,11.2
5/2/2019 16:00:00,11.24
5/3/2019 16:00:00,11.8
5/6/2019 16:00:00,11.77
5/7/2019 16:00:00,11.17
5/8/2019 16:00:00,10.82
5/9/2019 16:00:00,10.98
5/10/2019 16:00:00,10.49
5/13/2019 16:00:00,10.11
5/14/2019 16:00:00,10.49
5/15/2019 16:00:00,10.66
5/16/2019 16:00:00,11.42
5/17/2019 16:00:00,11.49
5/20/2019 16:00:00,11.19
5/21/2019 16:00:00,11.54
5/22/2019 16:00:00,11.31
5/23/2019 16:00:00,11.12
5/24/2019 16:00:00,11.56
5/28/2019 16:00:00,11.57
5/29/2019 16:00:00,11.68
5/30/2019 16:00:00,11.99
5/31/2019 16:00:00,11.89
6/3/2019 16:00:00,11.69
6/4/2019 16:00:00,12.95
6/5/2019 16:00:00,12.94
6/6/2019 16:00:00,13.82
6/7/2019 16:00:00,13.87
6/10/2019 16:00:00,13.77
6/11/2019 16:00:00,13.54
6/12/2019 16:00:00,13.75
6/13/2019 16:00:00,14.11
6/14/2019 16:00:00,13.96
6/17/2019 16:00:00,13.55
6/18/2019 16:00:00,14.86
6/19/2019 16:00:00,14.67
6/20/2019 16:00:00,14.84
6/21/2019 16:00:00,14.56
6/24/2019 16:00:00,14.76
6/25/2019 16:00:00,14.53
6/26/2019 16:00:00,14.71
6/27/2019 16:00:00,14.58
6/28/2019 16:00:00,14.3
7/1/2019 16:00:00,14.35
7/2/2019 16:00:00,14.1
7/3/2019 13:00:00,14.76
7/5/2019 16:00:00,15.23
7/8/2019 16:00:00,15.14
7/9/2019 16:00:00,15.25
7/10/2019 16:00:00,15.26
7/11/2019 16:00:00,15.57
7/12/2019 16:00:00,15.61
7/15/2019 16:00:00,15.5
7/16/2019 16:00:00,15
7/17/2019 16:00:00,14.93
7/18/2019 16:00:00,14.55
7/19/2019 16:00:00,14.02
7/22/2019 16:00:00,14.15
7/23/2019 16:00:00,14.83
7/24/2019 16:00:00,17.61
7/25/2019 16:00:00,17.69
7/26/2019 16:00:00,17.89
7/29/2019 16:00:00,17.5
7/30/2019 16:00:00,16.93
7/31/2019 16:00:00,16.8
8/1/2019 16:00:00,16.68
8/2/2019 16:00:00,17.03
8/5/2019 16:00:00,16.46
